trait_name,trait_def,ontology,term_id,term_label,term_definition,similarity,above_threshold
mortality rate,per capita daily mortality,OBA,OBA:0002011,micturition rate,The rate of a micturition.,0.1868,FALSE
mortality rate,per capita daily mortality,OBA,OBA:0002200,reflex rate,The rate of a reflex.,0.166,FALSE
mortality rate,per capita daily mortality,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.,0.215,FALSE
mortality rate,per capita daily mortality,OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.,0.243,FALSE
mortality rate,per capita daily mortality,OBA,OBA:0003172,anagen rate,The rate of a anagen.,0.2056,FALSE
mortality rate,per capita daily mortality,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.,0.2406,FALSE
mortality rate,per capita daily mortality,PATO,PATO:0000911,decreased rate,A rate which is relatively low.,0.2889,FALSE
mortality rate,per capita daily mortality,PATO,PATO:0000912,increased rate,A rate which is relatively high.,0.2856,FALSE
mortality rate,per capita daily mortality,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.,0.2489,FALSE
mortality rate,per capita daily mortality,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.,0.0837,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.,0.2853,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,OBA,OBA:0002283,defecation frequency,The frequency of a defecation.,0.1974,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,OBA,OBA:0003672,micturition frequency,The frequency of a micturition.,0.1641,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,OBA,OBA:0004805,fertilization frequency,The frequency of a fertilization.,0.2632,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,OBA,OBA:0000060,cilium beat frequency,check this,0.1265,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,PATO,PATO:0000044,frequency,A physical quality which inheres in a bearer by virtue of the number of the bearer's repetitive actions in a particular time.,0.1297,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,PATO,PATO:0000380,increased frequency,A frequency which is relatively high.,0.1393,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,PATO,PATO:0000381,decreased frequency,A frequency which is relatively low.,0.1482,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,PATO,PATO:0001520,sound frequency,The frequency of transmitted vibrations.,0.1162,FALSE
blood feeding frequency,mean lifetime blood meals individual-1,PATO,PATO:0045087,normal frequency,A frequency which is relatively normal.,0.186,FALSE
egg viability,mean percentage of viable eggs produced per female,OBA,OBA:0004486,embryo viability,The viability of a embryo.,0.505,FALSE
egg viability,mean percentage of viable eggs produced per female,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.,0.3732,FALSE
egg viability,mean percentage of viable eggs produced per female,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.,0.3606,FALSE
egg viability,mean percentage of viable eggs produced per female,OBA,OBA:1001092,egg shell color,The color of a eggshell.,0.2661,FALSE
egg viability,mean percentage of viable eggs produced per female,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.,0.3116,FALSE
egg viability,mean percentage of viable eggs produced per female,PATO,PATO:0000169,viability,An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population.,0.3127,FALSE
egg viability,mean percentage of viable eggs produced per female,PATO,PATO:0001497,brood viability,A reproductive quality inhering in the young of an animal by virtue of the bearer's disposition to survive and develop normally.,0.3755,FALSE
egg viability,mean percentage of viable eggs produced per female,PATO,PATO:0001891,ovate,A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a continuous convex surface with an axis of symmetry and one axis longer than the other; egg-shaped.,0.1974,FALSE
egg viability,mean percentage of viable eggs produced per female,PATO,CL:0000025,egg cell,A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.,0.3129,FALSE
egg viability,mean percentage of viable eggs produced per female,PATO,GO:0007343,egg activation,"The process in which the egg becomes metabolically active, initiates protein and DNA synthesis and undergoes structural changes to its cortex and/or cytoplasm.",0.3102,FALSE
fat content,mean lipid content per individual,OBA,OBA:2045435,stomach content pH,The acidity of a stomach lumen.,0.2348,FALSE
fat content,mean lipid content per individual,OBA,OBA:VT0010714,milk zinc content,The amount of a zinc atom when measured in milk.,0.3456,FALSE
fat content,mean lipid content per individual,OBA,OBA:2045301,erythrocyte hemoglobin content trait,The amount of a hemoglobin when measured in erythrocyte.,0.2222,FALSE
fat content,mean lipid content per individual,OBA,OBA:0004528,fat pad mass,The mass of a fat pad.,0.3384,FALSE
fat content,mean lipid content per individual,OBA,OBA:2050198,pericardial fat amount,The amount of a pericardial fat.,0.3808,FALSE
fat content,mean lipid content per individual,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).",0.3019,FALSE
fat content,mean lipid content per individual,PATO,UBERON:0015129,epicardial fat,Visceral intrapericardial fat contiguous with the myocardial surface.,0.267,FALSE
fat content,mean lipid content per individual,PATO,UBERON:0035814,pericardial fat,The sum of epicardial and paracardial fat deposits.,0.3201,FALSE
fat content,mean lipid content per individual,PATO,UBERON:0035815,paracardial fat,Fat deposits in the mediastinum outside the parietal pericardium .,0.2948,FALSE
fat content,mean lipid content per individual,PATO,UBERON:0035818,visceral fat,Any fat deposit surrounding a visceral organ.,0.2958,FALSE
pre-blood meal period,average duration from emergence to first blood meal,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.,0.3702,FALSE
pre-blood meal period,average duration from emergence to first blood meal,OBA,OBA:2051375,level of pre-pro-epidermal growth factor in blood,The amount of a pre-pro-epidermal growth factor when measured in blood.,0.2487,FALSE
pre-blood meal period,average duration from emergence to first blood meal,OBA,OBA:2043038,level of pre-mRNA-processing factor 19 in blood serum,The amount of a pre-mRNA-processing factor 19 when measured in blood serum.,0.1895,FALSE
pre-blood meal period,average duration from emergence to first blood meal,OBA,OBA:2044144,level of pre-mRNA-splicing regulator WTAP in blood serum,The amount of a pre-mRNA-splicing regulator WTAP when measured in blood serum.,0.1583,FALSE
pre-blood meal period,average duration from emergence to first blood meal,OBA,OBA:2052659,amount of pre-pro-epidermal growth factor (human) in blood,The amount of a pre-pro-epidermal growth factor (human) when measured in blood.,0.2432,FALSE
pre-blood meal period,average duration from emergence to first blood meal,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.,0.262,FALSE
pre-blood meal period,average duration from emergence to first blood meal,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.,0.1707,FALSE
pre-blood meal period,average duration from emergence to first blood meal,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.,0.26,FALSE
pre-blood meal period,average duration from emergence to first blood meal,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.,0.1057,FALSE
pre-blood meal period,average duration from emergence to first blood meal,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.,0.1203,FALSE
resource consumption rate,mean daily resource consumption rate,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.,0.2069,FALSE
resource consumption rate,mean daily resource consumption rate,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.,0.1952,FALSE
resource consumption rate,mean daily resource consumption rate,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.,0.2903,FALSE
resource consumption rate,mean daily resource consumption rate,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.,0.2333,FALSE
resource consumption rate,mean daily resource consumption rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.,0.2861,FALSE
resource consumption rate,mean daily resource consumption rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.,0.335,FALSE
resource consumption rate,mean daily resource consumption rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.,0.3347,FALSE
resource consumption rate,mean daily resource consumption rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.,0.3156,FALSE
resource consumption rate,mean daily resource consumption rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.,0.2982,FALSE
resource consumption rate,mean daily resource consumption rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.,0.1389,FALSE
blood feeding,percent taking one bloodmeal,OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.,0.3035,FALSE
blood feeding,percent taking one bloodmeal,OBA,OBA:0003648,blood volume,The volume of a blood.,0.2558,FALSE
blood feeding,percent taking one bloodmeal,OBA,OBA:0004561,blood osmolality,The osmolality of a blood.,0.2152,FALSE
blood feeding,percent taking one bloodmeal,OBA,OBA:0004999,blood size,The size of a blood.,0.3756,FALSE
blood feeding,percent taking one bloodmeal,OBA,OBA:2045409,blood pH,The acidity of a blood.,0.2222,FALSE
blood feeding,percent taking one bloodmeal,PATO,UBERON:0000178,blood,A fluid that is composed of blood plasma and erythrocytes.,0.1868,FALSE
blood feeding,percent taking one bloodmeal,PATO,CL:0000081,blood cell,A cell found predominately in the blood.,0.2457,FALSE
blood feeding,percent taking one bloodmeal,PATO,CL:4030029,blood lymphocyte,A lymphocyte located in blood.,0.1952,FALSE
blood feeding,percent taking one bloodmeal,PATO,GO:0008015,blood circulation,"The flow of blood through the body of an animal, enabling the transport of nutrients to the tissues and the removal of waste products.",0.2055,FALSE
blood feeding,percent taking one bloodmeal,PATO,UBERON:0001969,blood plasma,"The liquid component of blood, in which erythrocytes are suspended.",0.1834,FALSE
transmission potential,percent of individuals with transmission potential,OBA,OBA:VT0003635,synaptic transmission trait,The quality of a chemical synaptic transmission.,0.2494,FALSE
transmission potential,percent of individuals with transmission potential,OBA,OBA:0000099,membrane potential trait,The electric potential of a membrane.,0.1749,FALSE
transmission potential,percent of individuals with transmission potential,OBA,OBA:0000105,mitochondrial membrane potential,The membrane potential of a mitochondrial membrane.,0.1698,FALSE
transmission potential,percent of individuals with transmission potential,OBA,OBA:0003974,cochlea electric potential,The electric potential of a cochlea.,0.1603,FALSE
transmission potential,percent of individuals with transmission potential,PATO,PATO:0001462,membrane potential,A quality inhering in a cell's plasma membrane by virtue of the electrical potential difference across it.,0.1327,FALSE
transmission potential,percent of individuals with transmission potential,PATO,PATO:0001463,action potential,A quality inhering in a cell's plasma membrane by virtue of a brief fluctuation in the bearer's potential caused by the rapid opening and closing of voltage-gated ion channels.,0.1915,FALSE
transmission potential,percent of individuals with transmission potential,PATO,PATO:0001464,electric potential,"A quality that is equal to the potential energy per unit charge associated with a static (time-invariant) electric field, also called the electrostatic potential.",0.1306,FALSE
transmission potential,percent of individuals with transmission potential,PATO,GO:0001508,action potential,Action potentials typically propagate across excitable membranes. This class covers both action potentials that propagate and those that fail to do so.,0.1924,FALSE
transmission potential,percent of individuals with transmission potential,PATO,GO:0007268,chemical synaptic transmission,"The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.",0.1862,FALSE
