n_categories,mean_dominant_share,median_dominant_share,min_dominant_share,mean_dominant_purity,median_dominant_purity,mean_balanced_score,mean_non_noise_share,total_noise_rate,n_clusters,max_cluster_share,n_dominant_cluster_ties,order_id,order_string,combination_key,api_prompt_tokens,degenerate,dominant_share_rank_all,dominant_share_rank_screened,balanced_rank_screened
10,0.7648743621275902,0.8479674796747967,0.4117647058823529,0.7233112799150535,0.8295454545454546,0.6873131407812488,0.8606240034475329,0.23210412147505424,21,0.14316702819956617,0,141,name>def>phylum,name+def+phylum,12233,FALSE,6,1,9
10,0.7635175705053754,0.8224932249322493,0.5,0.8290287370008732,0.954185520361991,0.7645495317359912,0.8492062362155619,0.28633405639913234,22,0.1475054229934924,0,1,name>def>unit,name+def+unit,0,FALSE,7,2,1
10,0.761946564992476,0.8175,0.4117647058823529,0.81255871579401,0.9282051282051282,0.7601282979893829,0.8201962063124186,0.279826464208243,21,0.1475054229934924,0,4,name>unit>def,name+def+unit,10441,FALSE,8,3,2
10,0.6952504296277611,0.7410714285714286,0.35294117647058826,0.7608715845557951,0.8889759665621735,0.6923370354670174,0.8102073880208744,0.26247288503253796,22,0.14316702819956617,0,126,name>def>class,name+def+class,12006,FALSE,9,4,8
10,0.6555161357851458,0.6092436974789917,0.2361111111111111,0.9758109040717736,1,0.753416280815032,0.8159927247947334,0.31670281995661603,30,0.05422993492407809,1,228,unit>phylum>name,name+unit+phylum,9218,FALSE,10,5,3
10,0.6540697529793656,0.6076923076923078,0.46153846153846156,0.6189799331103679,0.5946859903381643,0.5902676985577122,0.7771653326746584,0.3362255965292842,20,0.1301518438177874,0,142,name>phylum>def,name+def+phylum,12233,FALSE,11,6,66
10,0.650544693549715,0.6319444444444444,0.47619047619047616,0.7686507936507936,0.875,0.6771063831241992,0.7953805547234528,0.31453362255965295,21,0.09978308026030369,0,135,name>def>order,name+def+order,12024,FALSE,12,7,14
10,0.6460431782469085,0.7655677655677655,0.23076923076923078,0.7551724137931034,0.90625,0.6540104197826816,0.7025771332923413,0.40563991323210413,21,0.1279826464208243,0,140,def>phylum>name,name+def+phylum,12233,FALSE,13,8,17
10,0.6458363096332967,0.6538461538461539,0.2926829268292683,0.8423395445134576,1,0.6802872531471562,0.7642485525792556,0.30151843817787416,24,0.14967462039045554,0,144,phylum>name>def,name+def+phylum,12233,FALSE,14,9,13
10,0.6454950380402317,0.5905923344947734,0.2647058823529412,0.8418958818958819,0.9923076923076923,0.7057989806169588,0.738802102329362,0.3774403470715835,23,0.14099783080260303,0,6,unit>name>def,name+def+unit,10441,FALSE,15,10,4
